"Name","IP","PublicKey","ConfigPath"
"wg-FZN-1","10.10.10.6/32","UKAxXKoFqNTJZ8qhXuPMx2aLTUQMx2cvfjvBsplc6WM=","batch_created\wg-FZN-1.conf"
"wg-FZN-2","10.10.10.7/32","Aaq5XMh8dmOlzNnMENUPxYzhs3s6uY4hffoBiptKLD8=","batch_created\wg-FZN-2.conf"
"wg-FZN-3","10.10.10.8/32","ZKHidU+zE+CS7gqq/W5JUVVVbL6z/jKAPa2dNbFM2Gs=","batch_created\wg-FZN-3.conf"
"wg-FZN-4","10.10.10.9/32","sVffZvFGAQtEL1pXGKd/8+kOwgHRvCwaV0OeAXydMl8=","batch_created\wg-FZN-4.conf"
"wg-FZN-5","10.10.10.10/32","kLMsIccv8BWK1wbHdqWw7DyxE6iY9XC9jiUib/5aGwM=","batch_created\wg-FZN-5.conf"
"wg-FZN-6","10.10.10.11/32","MRZhL3IcPC2kBBL1kShx6G8DOxNWBraFtVxnYrX40BY=","batch_created\wg-FZN-6.conf"
"wg-FZN-7","10.10.10.12/32","sXL9rX+OgyUpSyOwa2ILCO+zuIhZyTo/aOTfVUBfVA0=","batch_created\wg-FZN-7.conf"
"wg-FZN-8","10.10.10.13/32","ydWbwEwHQQMMnUKtnaZslNWjjNOtIIebeb2tur1ydBM=","batch_created\wg-FZN-8.conf"
"wg-FZN-9","10.10.10.14/32","zAcaHq/Qv4khpvEMWlE3D7JGBa7IlVTw2tNuzRuWUAA=","batch_created\wg-FZN-9.conf"
"wg-FZN-10","10.10.10.15/32","6NuaGfZSyEO4jwqExe42YFAGdupsxzXT88j2SxJ4vFA=","batch_created\wg-FZN-10.conf"
"wg-FZN-11","10.10.10.16/32","5/nx68bCs2fLTSq1mOeehCIX5Jbc1hj4XXV4JcoC3H0=","batch_created\wg-FZN-11.conf"
"wg-FZN-12","10.10.10.17/32","a2KKW+K68HOke1QKJT/bhXuf1B/BfubwVVIQDv/Y3E4=","batch_created\wg-FZN-12.conf"
"wg-FZN-13","10.10.10.18/32","0aXfeMAA7AfI9BrbatB86KkOq8Nt06vgVeAYHpIFdyU=","batch_created\wg-FZN-13.conf"
"wg-FZN-14","10.10.10.19/32","YCbGG7kP8w27QrLcf5P5wZJfur3eTZ5WNYajSplxdHs=","batch_created\wg-FZN-14.conf"
"wg-FZN-15","10.10.10.20/32","GXFH6FThtT3zrwu6OmeFUXstq+E3u69KAbYBiaM2dhc=","batch_created\wg-FZN-15.conf"
"wg-FZN-16","10.10.10.21/32","YKBM8cZb8l09HwzCMzdZsw5crePLaS92NWJoL4Wh7xA=","batch_created\wg-FZN-16.conf"
"wg-FZN-17","10.10.10.22/32","hQi3HL3d5lnpm8Sr9IpaWIvLs2e8qBnh6TgMI0tzrgE=","batch_created\wg-FZN-17.conf"
"wg-FZN-18","10.10.10.23/32","X5WKPK3cjbr6YMrJyCG1xzfQNZQ81mPlPYAXHegptkY=","batch_created\wg-FZN-18.conf"
"wg-FZN-19","10.10.10.24/32","BXA5XZjkFrvJOmjQVJFuEopYLMKBI+5QX7fwOItU5V8=","batch_created\wg-FZN-19.conf"
"wg-FZN-20","10.10.10.25/32","BbnYMHJP/atZB2x56x9Tg+miCynna2lArLy3WUk6wkE=","batch_created\wg-FZN-20.conf"
"wg-FZN-21","10.10.10.26/32","PYQJPPCHV6N25vKlpwEKsrNSEkggTGqM+ubbMuOhWDU=","batch_created\wg-FZN-21.conf"
"wg-FZN-22","10.10.10.27/32","HoNubWodQub+Fg9e1omkj9GbKWcsvqbJrS47iHIbilc=","batch_created\wg-FZN-22.conf"
"wg-FZN-23","10.10.10.28/32","z5hOS/Pokjp7drlDWI6meLtKjpam2H6cj6czLhsPJ3E=","batch_created\wg-FZN-23.conf"
"wg-FZN-24","10.10.10.29/32","ZUrrGGQ/k3YwSHwz0aZkM8SNNrDrIuEUoajOGHS4HUI=","batch_created\wg-FZN-24.conf"
"wg-FZN-25","10.10.10.30/32","B5jWpNwqOnU6AgD63JPXRDCLdDCyAUJOucF3r17tWB0=","batch_created\wg-FZN-25.conf"
"wg-FZN-26","10.10.10.31/32","Dy8qZQJ1/aGRX5ryWPRy7h2Z67iSJH4rkkXFjXOCyRw=","batch_created\wg-FZN-26.conf"
"wg-FZN-27","10.10.10.32/32","ec84z0FO/AqgBKm6USkysSotymKbODDUc/oX1n8MEA4=","batch_created\wg-FZN-27.conf"
"wg-FZN-28","10.10.10.33/32","xSx7Fw6m4DW0cApiCHi7eO5MuHMVjx91wmksG17VnxY=","batch_created\wg-FZN-28.conf"
"wg-FZN-29","10.10.10.34/32","FjCAGX6ey/YgIQ/n4d+sL1W1bWd68P7Imo4VClmtiE0=","batch_created\wg-FZN-29.conf"
"wg-FZN-30","10.10.10.35/32","zu4ioG/PSk2FxdIrxQK8sgl9/DAhkESJ/7E/cfDyDRk=","batch_created\wg-FZN-30.conf"
"wg-FZN-31","10.10.10.36/32","E8u6z5LmVpBRBsJb/0djRRGCoBtPO+4NMFe6iWELemU=","batch_created\wg-FZN-31.conf"
"wg-FZN-32","10.10.10.37/32","LR5KrlJTFFnToBmCePFKhmTksubQf3vtmv7wBYpI6mM=","batch_created\wg-FZN-32.conf"
"wg-FZN-33","10.10.10.38/32","LTvtMshHHSG2vtFJJEfgeQw3U3iIZ1jSoiGsIAG2Wks=","batch_created\wg-FZN-33.conf"
"wg-FZN-34","10.10.10.39/32","KnD7FPe3rou/o5x+2Z/lHWUpRJe70c7QateaZ4uY710=","batch_created\wg-FZN-34.conf"
"wg-FZN-35","10.10.10.40/32","KwipIs/T3WpkUlCFR2OkDScjiPfIxwFEXKKuTa9XLxI=","batch_created\wg-FZN-35.conf"
"wg-FZN-36","10.10.10.41/32","fiq1facrZSj5nvsSGe6NvrVIL3SKfRVNlwB+RHrXNHE=","batch_created\wg-FZN-36.conf"
"wg-FZN-37","10.10.10.42/32","0abnSbtb5XPrLawLthgbzPoxawf2NFCw7TZQT5ZDI2Y=","batch_created\wg-FZN-37.conf"
"wg-FZN-38","10.10.10.43/32","FP8n0sFGPt11aI7cy1GaPPtnYP4cGbY5SOA6ON6ZdEg=","batch_created\wg-FZN-38.conf"
"wg-FZN-39","10.10.10.44/32","ZB+LK9m+uhjbJO/HgJ/EA4phug4I/jWjppCkiYm+alI=","batch_created\wg-FZN-39.conf"
"wg-FZN-40","10.10.10.45/32","XtsR7dwKyLKfZf+Hm6Wot2Z0TJWR14FdR9Kbl+T0C2I=","batch_created\wg-FZN-40.conf"
"wg-FZN-41","10.10.10.46/32","uY9D0Hx3mrHhXYV1krjpuRo3MxpePmY/l7jtcSCeoXY=","batch_created\wg-FZN-41.conf"
"wg-FZN-42","10.10.10.47/32","sM1g77bJwnbMTy2GuMXDAFvgZepWYig92HnfQ0LNfS4=","batch_created\wg-FZN-42.conf"
"wg-FZN-43","10.10.10.48/32","l9ucIwyWeeBnx9Jf2woj7RQTuxMFilCYMpwDLexShE8=","batch_created\wg-FZN-43.conf"
"wg-FZN-44","10.10.10.49/32","akXR9DLZ/HWJcMQrHSj9vluYbH7auWB7o5en+fEvHDk=","batch_created\wg-FZN-44.conf"
"wg-FZN-45","10.10.10.50/32","nt/BGhgfPwdNZYNQ0jPICag9w9/neThF6Er5ctHSQD8=","batch_created\wg-FZN-45.conf"
"wg-FZN-46","10.10.10.51/32","8flxTxWZRcQq/q3WvUzACYdJxezUeF+MN4OAOU2uhxs=","batch_created\wg-FZN-46.conf"
"wg-FZN-47","10.10.10.52/32","nNhlfJsDXn9x2QM6j3ZysPbVmv/XPTIPeIeSN6l7XXg=","batch_created\wg-FZN-47.conf"
"wg-FZN-48","10.10.10.53/32","qIGwEcjyqm8hFJM4uvRl9JEEpssToiVLn0jAIC0L1Xc=","batch_created\wg-FZN-48.conf"
"wg-FZN-49","10.10.10.54/32","S+oN4sC8O6Ji0PvbGrvPVTukSuOEe8QIOjZ37oukCGI=","batch_created\wg-FZN-49.conf"
"wg-FZN-50","10.10.10.55/32","2mHFCbaXke4Y1nFv5PqLF4/7WziDvnnl8io7rBe8ZVI=","batch_created\wg-FZN-50.conf"
